DE: Experiment,location,DE: Kamera,pointOfView,sceneId,DE: SceneID,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShows,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Tobias,DE: Richtungsfreigabe,todoMotorVehicleDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,motorVehicleWidth,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteCount,voteMeans
CP,pavement,C,bicycle,01_CP_C_802,,8,Fahrstreifen,car_lanes,-,-,-,-,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,breit,wide,Aufpflasterung,paved_hump,schmal,narrow,-,-,2.75,2.75,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"0,93%","4,67%","43,93%","50,47%","100,00%",60,
CP,pavement,C,bicycle,01_CP_C_801,,8,Fahrstreifen,car_lanes,breit,wide,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,00%","8,96%","36,57%","54,48%","100,01%",89,
CP,pavement,C,bicycle,01_CP_C_800,,8,Fahrstreifen,car_lanes,breit,wide,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,00%","4,88%","21,95%","73,17%","100,00%",83,
CP,pavement,C,bicycle,01_CP_C_799,,8,Fahrstreifen,car_lanes,schmal,narrow,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,3,3,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,78%","4,69%","28,91%","65,63%","100,01%",73,
CP,pavement,C,bicycle,01_CP_C_798,,8,Fahrstreifen,car_lanes,schmal,narrow,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,3,3,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,00%","9,17%","32,11%","58,72%","100,00%",62,
CP,pavement,C,bicycle,01_CP_C_797,,8,Fahrstreifen,car_lanes,breit,wide,Aufpflasterung,paved_hump,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"1,77%","9,73%","38,94%","49,56%","100,00%",65,
CP,pavement,C,bicycle,01_CP_C_796,,8,Fahrstreifen,car_lanes,breit,wide,Grünstreifen,green_verge,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"1,09%","7,61%","40,22%","51,09%","100,01%",47,
CP,pavement,C,bicycle,01_CP_C_795,,8,Fahrstreifen,car_lanes,schmal,narrow,Aufpflasterung,paved_hump,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,3,3,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"0,93%","5,56%","47,22%","46,30%","100,01%",61,
CP,pavement,C,bicycle,01_CP_C_794,,8,Fahrstreifen,car_lanes,schmal,narrow,Grünstreifen,green_verge,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,3,3,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"0,83%","3,31%","39,67%","56,20%","100,01%",69,
CP,pavement,C,bicycle,01_CP_C_793,,8,Fahrstreifen,car_lanes,-,-,-,-,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,schmal,narrow,Aufpflasterung,paved_hump,schmal,narrow,-,-,3.25,3.25,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"2,75%","2,75%","41,28%","53,21%","99,99%",67,
CP,pavement,C,bicycle,01_CP_C_792,,8,Fahrstreifen,car_lanes,breit,wide,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2,2,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"1,46%","3,65%","29,20%","65,69%","100,00%",79,
CP,pavement,C,bicycle,01_CP_C_791,,8,Fahrstreifen,car_lanes,breit,wide,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2,2,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,00%","1,79%","24,11%","74,11%","100,01%",63,
CP,pavement,C,bicycle,01_CP_C_790,,8,Fahrstreifen,car_lanes,schmal,narrow,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"1,83%","2,75%","21,10%","74,31%","99,99%",68,
CP,pavement,C,bicycle,01_CP_C_789,,8,Fahrstreifen,car_lanes,schmal,narrow,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2.5,2.5,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Sperrpfosten,,-,,-,,-,,-,"0,00%","1,65%","27,27%","71,07%","99,99%",76,
CP,pavement,C,bicycle,01_CP_C_788,,8,Fahrstreifen,car_lanes,breit,wide,Aufpflasterung,paved_hump,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2,2,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"2,75%","1,83%","35,78%","59,63%","99,99%",69,
CP,pavement,C,bicycle,01_CP_C_787,,8,Fahrstreifen,car_lanes,breit,wide,Grünstreifen,green_verge,Keine,none,Fahrstreifen__Keine,car_lanes__none,breit,wide,breit,wide,Grünstreifen,green_verge,schmal,narrow,-,-,2,2,,-,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,,-,CP____Keine,,-,,-,,-,,-,"0,80%","0,00%","38,40%","60,80%","100,00%",81,
