imageUrl,TODO: slug,DE: Experiment,location,DE: Kamera,pointOfView,DE: SceneID,sceneId,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidthName,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidthName,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidthName,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidthName,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShops,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,TODO: Kombination leftOf,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Durchdenken,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_136.jpg,,CP,pavement,A,vehicle,01_CP_A_136,01_CP_A_136,2,Fahrstreifen,car_lanes,-,-,-,-,-,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,2,2,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"2,22%","6,67%","40,00%","51,11%","100,00%",45,"2,51"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_137.jpg,,CP,pavement,A,vehicle,01_CP_A_137,01_CP_A_137,2,Fahrstreifen,car_lanes,schmal,narrow,0.25,Grünstreifen,green_verge,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.75,1.75,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"2,70%","7,21%","45,05%","45,05%","100,01%",69,"2,29"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_138.jpg,,CP,pavement,A,vehicle,01_CP_A_138,01_CP_A_138,2,Fahrstreifen,car_lanes,schmal,narrow,0.25,Aufpflasterung,paved_hump,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.75,1.75,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"2,50%","12,50%","35,00%","50,00%","100,00%",46,"2,39"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_139.jpg,,CP,pavement,A,vehicle,01_CP_A_139,01_CP_A_139,2,Fahrstreifen,car_lanes,breit,wide,0.75,Grünstreifen,green_verge,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.25,1.25,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"0,00%","6,67%","42,67%","50,67%","100,01%",38,"2,50"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_140.jpg,,CP,pavement,A,vehicle,01_CP_A_140,01_CP_A_140,2,Fahrstreifen,car_lanes,breit,wide,0.75,Aufpflasterung,paved_hump,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.25,1.25,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"1,28%","14,10%","28,21%","56,41%","100,00%",46,"2,39"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_141.jpg,,CP,pavement,A,vehicle,01_CP_A_141,01_CP_A_141,2,Fahrstreifen,car_lanes,schmal,narrow,0.25,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.75,1.75,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Sperrpfosten,,-,"1,25%","6,25%","38,75%","53,75%","100,00%",42,"2,50"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_142.jpg,,CP,pavement,A,vehicle,01_CP_A_142,01_CP_A_142,2,Fahrstreifen,car_lanes,schmal,narrow,0.25,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.75,1.75,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Sperrpfosten,,-,"2,30%","10,34%","36,78%","50,57%","99,99%",53,"2,32"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_143.jpg,,CP,pavement,A,vehicle,01_CP_A_143,01_CP_A_143,2,Fahrstreifen,car_lanes,breit,wide,0.75,Grünstreifen,green_verge,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.25,1.25,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Sperrpfosten,,-,"3,09%","5,15%","31,96%","59,79%","99,99%",53,"2,43"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_144.jpg,,CP,pavement,A,vehicle,01_CP_A_144,01_CP_A_144,2,Fahrstreifen,car_lanes,breit,wide,0.75,Aufpflasterung,paved_hump,Sperrpfosten,bollard,Fahrstreifen__Sperrpfosten,car_lanes__bollard,schmal,narrow,2.0,-,-,-,-,-,schmal,narrow,todo,-,-,1.25,1.25,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Sperrpfosten,,-,"0,88%","7,89%","42,98%","48,25%","100,00%",72,"2,42"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_CP_A_145.jpg,,CP,pavement,A,vehicle,01_CP_A_145,01_CP_A_145,2,Fahrstreifen,car_lanes,-,-,-,-,-,Keine,none,Fahrstreifen__Keine,car_lanes__none,schmal,narrow,2.0,schmal,narrow,0.25,Grünstreifen,green_verge,schmal,narrow,todo,-,-,1.75,1.75,,-,---car_lanes,,-,,-,,-,,-,,-,,-,Gehweg,sidewalk,nein,false,CP__nein__Keine,,-,"1,12%","5,62%","49,44%","43,82%","100,00%",64,"2,41"
