HELPER: imageUrl,DE: Experiment,INAKTIVE: location,DE: Kamera,INAKTIVE: pointOfView,DE: SceneID,sceneId,HELPER: sceneNumber,sceneIdCar,DE: Basisszenario,DE: Parken,parkingCategory,DE: Richtungsfreigabe,carriagewayDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,carriagewayWidth,carriagewayWidthNumber,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,voteCarScore,voteCar0Unsafe,voteCar1RatherUnsafe,voteCar2Save,voteCar3VerySave,voteCarCount,voteCarMeans,voteScore,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_1.jpg,SE,secondary_road,C,bicycle,01_SE_C_1,SE_C_1,1,SE_A_1,1,nein,no_parking,beidseitig,both_directions,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"42,23","21,59","36,19","29,21","13,02","260,00","1,35","29,28","34,46","36,26","22,52","6,76",381,"1,02"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_10.jpg,SE,secondary_road,C,bicycle,01_SE_C_10,SE_C_10,10,,1,nein,no_parking,beidseitig,both_directions,Fahrradstraße-Hollandaise,green_surface,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"98,33","0,84","0,84","5,22","93,11",409,"2,91"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_11.jpg,SE,secondary_road,C,bicycle,01_SE_C_11,SE_C_11,11,SE_A_11,1,nein,no_parking,Einbahnstraße,one_way,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"31,53","21,34","47,13","23,57","7,96","257,00","1,20","33,4","25,57","41,03","27,63","5,77",422,"1,17"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_12.jpg,SE,secondary_road,C,bicycle,01_SE_C_12,SE_C_12,12,SE_A_12,1,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"40,63","15,19","44,17","29,68","10,95","240,00","1,36","56,72","9,38","33,9","43,07","13,65",393,"1,60"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_13.jpg,SE,secondary_road,C,bicycle,01_SE_C_13,SE_C_13,13,SE_A_13,1,nein,no_parking,Einbahnstraße,one_way,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"44,18","13,73","42,09","29,55","14,63","281,00","1,47","52,11","13,14","34,74","37,86","14,25",394,"1,54"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_14.jpg,SE,secondary_road,C,bicycle,01_SE_C_14,SE_C_14,14,SE_A_14,1,nein,no_parking,Einbahnstraße,one_way,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"36,39","21,01","42,60","24,85","11,54","272,00","1,26","41,78","19,26","38,96","31,82","9,96",394,"1,34"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_16.jpg,SE,secondary_road,C,bicycle,01_SE_C_16,SE_C_16,16,SE_A_16,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"32,46","20,33","47,21","22,95","9,51","244,00","1,23","31,92","28,48","39,6","23,84","8,08",426,"1,10"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_17.jpg,SE,secondary_road,C,bicycle,01_SE_C_17,SE_C_17,17,SE_A_17,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"41,04","14,98","43,97","24,43","16,61","250,00","1,40","57,08","12,39","30,53","44,69","12,39",388,"1,56"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_18.jpg,SE,secondary_road,C,bicycle,01_SE_C_18,SE_C_18,18,SE_A_18,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"46,85","14,69","38,46","28,67","18,18","234,00","1,53","52,78","15,28","31,94","40,28","12,5",430,"1,48"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_19.jpg,SE,secondary_road,C,bicycle,01_SE_C_19,SE_C_19,19,SE_A_19,1,nein,no_parking,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"41,40","21,28","37,32","25,95","15,45","282,00","1,41","40,17","20,74","39,08","31,22","8,95",393,"1,28"
